FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
CONDES VAMPIRO;Dieter Helsnich, Montado en Mantícora;VILLANOS VOLUMEN II;17;09-10
CONDES VAMPIRO;Mannfred Von Carstein en Dragón Zombi;VILLANOS VOLUMEN II;25;09-10
CONDES VAMPIRO;Nagash;VILLANOS VOLUMEN II;28;09-10
CONDES VAMPIRO;Vlad Von Carstein;VILLANOS VOLUMEN II;37;09-10
CONDES VAMPIRO;Vorag Diente Ensangrentado en Dragón Zombi;VILLANOS VOLUMEN II;38;09-10
CONDES VAMPIRO;Zakarías el Eterno en Dragón Zombi;VILLANOS VOLUMEN II;40;09-10
DEMONIOS DEL CAOS;Amon’Chakai;VILLANOS VOLUMEN I;48;09-10
DEMONIOS DEL CAOS;Galrauch, (Dragón del Caos);VILLANOS VOLUMEN I;56;09-10
DEMONIOS DEL CAOS;Ku’gath, Padre de la Plaga;VILLANOS VOLUMEN I;60;09-10
DEMONIOS DEL CAOS;Skarbrand el Exiliado;VILLANOS VOLUMEN I;63;09-10
ELFOS OSCUROS;Anciana Hellebron, Caldero y Mantícora;VILLANOS VOLUMEN II;47;09-10
ELFOS OSCUROS;Malekith, Rey Brujo en Dragón Negro;VILLANOS VOLUMEN II;50;09-10
ELFOS OSCUROS;Rakarth, Señor de las Bestias en Dragón Negro;VILLANOS VOLUMEN II;59;09-10
ENANOS DEL CAOS;Alto Rey Enano Thorgrim;AVENTURAS ENANOS DEL CAOS;Final pag 13;09-10
HOMBRES LAGARTO;Mazdamundi, Señor de la Ciudad del Sol;AVENTURAS HOMBRES LAGARTO;Final pag 12;09-10
MORTALES DEL CAOS;Archaón, Señor del Fin de los Tiempos;VILLANOS VOLUMEN I;4;09-10
MORTALES DEL CAOS;Egrimm Van Horstmann, en Dragón;VILLANOS VOLUMEN I;13;09-10
MORTALES DEL CAOS;Glottkin, Hermanos Contaminados de Nurgle;VILLANOS VOLUMEN I;15;09-10
MORTALES DEL CAOS;Tamurkhan, montado en Sapodragón;VILLANOS VOLUMEN I;26;09-10
REYES FUNERARIOS;Settra el Imperecedero;VILLANOS VOLUMEN II;8;09-10
SKAVEN;Thanquol, Vidente Gris;VILLANOS VOLUMEN II;77;09-10
