FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
BESTIAS DEL CAOS;Garralunar, Hijo de Mórrslieb;VILLANOS VOLUMEN I;68;02-03
BESTIAS DEL CAOS;Molokh Lenguababosa, el Demonio del Hambre;VILLANOS VOLUMEN I;77;03-04
BESTIAS DEL CAOS;Scyla Anfingrimm, La Garra de Khorne;VILLANOS VOLUMEN I;78;03-04
BESTIAS DEL CAOS;Volga la Gorgona;VILLANOS VOLUMEN I;83;03-04
CONDES VAMPIRO;Molvar el Señor Espectro y el Lobo gigante;VILLANOS VOLUMEN II;43;03-04
DEMONIOS DEL CAOS;Karanak, (Mastín) de la Venganza;VILLANOS VOLUMEN I;59;02-03
DEMONIOS DEL CAOS;La Máscara de Slaanesh;VILLANOS VOLUMEN I;61;03-04
ELFOS OSCUROS;Melusina, Reina Bruja;VILLANOS VOLUMEN II;65;03-04
ELFOS OSCUROS;Husk Bawn, Verdugo Experto;VILLANOS VOLUMEN II;66;03-04
ENANOS DEL CAOS;Josef Bugman;AVENTURAS ENANOS DEL CAOS;Final pag 13;03-04
ENANOS DEL CAOS;Burlok Damminson;AVENTURAS ENANOS DEL CAOS;Final pag 14;03-04
ENANOS DEL CAOS;Drong El Largo;AVENTURAS ENANOS DEL CAOS;Final pag 15;03-04
ENANOS DEL CAOS;Enkni, Toro centauro;VILLANOS VOLUMEN I;103;03-04
ENANOS DEL CAOS;Hezak, el torcido;VILLANOS VOLUMEN I;105;03-04
ENANOS DEL CAOS;Dracos calavera de muerte;VILLANOS VOLUMEN I;104;03-04
HOMBRES LAGARTO;Oxyotl, El que Caza sin ser Visto;AVENTURAS HOMBRES LAGARTO;Final pag 11;02-03
HOMBRES LAGARTO;Tiktaq’to, Señor de los Cielos;AVENTURAS HOMBRES LAGARTO;Final pag 15;02-03
HOMBRES LAGARTO;Tenenhauin, Profeta de Sotek;AVENTURAS HOMBRES LAGARTO;Final pag 12;03-04
MORTALES DEL CAOS;Festasmus, El Septilo;VILLANOS VOLUMEN I;38;03-04
MORTALES DEL CAOS;Ungwie, El novivo;VILLANOS VOLUMEN I;35;03-04
MORTALES DEL CAOS;Lonzo Moreau, El Maestro de la Ilusión;VILLANOS VOLUMEN I;34;03-04
MORTALES DEL CAOS;La Luna danzante y engendro de Tzeench;VILLANOS VOLUMEN I;42;03-04
MORTALES DEL CAOS;Bacanal de Perversión;VILLANOS VOLUMEN I;43;03-04
MORTALES DEL CAOS;Rolling Bones;VILLANOS VOLUMEN I;33;03-04
MORTALES DEL CAOS;Vorl  y Malmsteem Perro Negro;VILLANOS VOLUMEN I;37;03-04
ORCOS Y GOBLINS;Gorfang Rotgut, Kaudillo de los Kolmilloz Rojoz;VILLANOS VOLUMEN II;96;03-04
ORCOS Y GOBLINS;Grotsnag, Azote de laz Montañaz Negraz;VILLANOS VOLUMEN II;99;03-04
ORCOS Y GOBLINS;Kapitán Skaben, Marinero Verde;VILLANOS VOLUMEN II;101;03-04
ORCOS Y GOBLINS;Komepiñoz Tripafea, el Goblin Máz Lizto de Todoz;VILLANOS VOLUMEN II;102;03-04
ORCOS Y GOBLINS;Oddgit, Chamán Goblin Nocturno;VILLANOS VOLUMEN II;106;03-04
ORCOS Y GOBLINS;Axemudd el Jefe Orco Salvaje;VILLANOS VOLUMEN II;115;03-04
ORCOS Y GOBLINS;Munk, el Chamán Orco Salvaje;VILLANOS VOLUMEN II;116;03-04
REINOS OGROS;Bragg, El Desollador;VILLANOS VOLUMEN I;87;02-03
REYES FUNERARIOS;Rey Esqueleto y Armand Vespin;VILLANOS VOLUMEN II;13;03-04
REYES FUNERARIOS;Príncipe Majeem y Estatua Sinjin;VILLANOS VOLUMEN II;13;03-04
SKAVEN;Ghoritch, Castellano del Pozo Infernal;VILLANOS VOLUMEN II;70;03-04
SKAVEN;Queek, el Coleccionista de Cabezas;VILLANOS VOLUMEN II;73;03-04
SKAVEN;Skweel Piñatarroída, Maestro de las Bestias del Pozo Infernal;VILLANOS VOLUMEN II;75;03-04
SKAVEN;Tretch Colacobarde;VILLANOS VOLUMEN II;83;03-04
