FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
BESTIAS DEL CAOS;Malagor, el Profeta Oscuro;VILLANOS VOLUMEN I;75;04-05
BESTIAS DEL CAOS;Ungrol Cuatrocuernos;VILLANOS VOLUMEN I;81;04-05
BESTIAS DEL CAOS;Ghorros Pezuñabélica;VILLANOS VOLUMEN I;68;05-06
BESTIAS DEL CAOS;Gorthor, el cruel;VILLANOS VOLUMEN I;69;05-06
BESTIAS DEL CAOS;Morghur, Señor de las Calaveras;VILLANOS VOLUMEN I;77;05-06
BESTIAS DEL CAOS;Throgg el Rey Troll  (Troll);VILLANOS VOLUMEN I;80;05-06
CONDES VAMPIRO;Krell;VILLANOS VOLUMEN II;22;04-05
CONDES VAMPIRO;Isabella Von Carstein;VILLANOS VOLUMEN II;20;05-06
CONDES VAMPIRO;Lord Falk, el Caballero Oscuro;VILLANOS VOLUMEN II;23;05-06
CONDES VAMPIRO;Luthor Harkon;VILLANOS VOLUMEN II;24;05-06
DEMONIOS DEL CAOS;El Cambiante;VILLANOS VOLUMEN I;53;04-05
DEMONIOS DEL CAOS;Epidemius, Archivista de Nurgle;VILLANOS VOLUMEN I;54;04-05
DEMONIOS DEL CAOS;Los Escribas Azules;VILLANOS VOLUMEN I;55;04-05
DEMONIOS DEL CAOS;Morbidex Doblenacido;VILLANOS VOLUMEN I;62;04-05
DEMONIOS DEL CAOS;U’zuhl el Despojacráneos;VILLANOS VOLUMEN I;65;04-05
ELFOS OSCUROS;Rakarth, Señor de las Bestias;VILLANOS VOLUMEN II;59;04-05
ELFOS OSCUROS;Kouran Manoscura, Capitán de la Guardia Negra;VILLANOS VOLUMEN II;48;05-06
ELFOS OSCUROS;Lokhir Fellheart, Señor Kraken de Karond-Kar;VILLANOS VOLUMEN II;49;05-06
ELFOS OSCUROS;Shadowblade, Maestro de Asesinos;VILLANOS VOLUMEN II;60;05-06
ELFOS OSCUROS;Tullaris de Har Ganeth, Portador del Terror;VILLANOS VOLUMEN II;61;05-06
ENANOS DEL CAOS;Gorduz el Traicionero;VILLANOS VOLUMEN I;98;04-05
ENANOS DEL CAOS;Gotrek Gurnisson;AVENTURAS ENANOS DEL CAOS;Final pag 12;05-06
ENANOS DEL CAOS;Ghazak Khan, Señor de las Estepas;VILLANOS VOLUMEN I;97;05-06
HOMBRES LAGARTO;Gor-rok, el Gran Lagarto Blanco;AVENTURAS HOMBRES LAGARTO;Final pag 14;04-05
HOMBRES LAGARTO;Chakax, Primer Guardián de Xlanhuapec;AVENTURAS HOMBRES LAGARTO;Final pag 14;05-06
MORTALES DEL CAOS;Kayzk el Podrido, Campeón de Nurgle;VILLANOS VOLUMEN I;20;04-05
MORTALES DEL CAOS;Kordel Shorgaar, Portaestandarte de las Espadas del Caos;VILLANOS VOLUMEN I;21;04-05
MORTALES DEL CAOS;Valnir el Segador;VILLANOS VOLUMEN I;28;04-05
MORTALES DEL CAOS;Wulfrik el Errante;VILLANOS VOLUMEN I;31;04-05
MORTALES DEL CAOS;Festus, Doctor Anélido;VILLANOS VOLUMEN I;14;05-06
MORTALES DEL CAOS;Skarr Irasangrienta;VILLANOS VOLUMEN I;25;05-06
MORTALES DEL CAOS;Feria ambulante del Caos;VILLANOS VOLUMEN I;39;05-06
ORCOS Y GOBLINS;Borgut Machakajetoz, la Mano Derecha de Gorko;VILLANOS VOLUMEN II;93;04-05
ORCOS Y GOBLINS;Bruja Troll;VILLANOS VOLUMEN II;94;04-05
ORCOS Y GOBLINS;Grom el Panzudo, Kaudillo Goblin de la Montaña Nublada;VILLANOS VOLUMEN II;98;04-05
ORCOS Y GOBLINS;Oglok el Horrible;VILLANOS VOLUMEN II;107;04-05
ORCOS Y GOBLINS;Snagga, Gran Jefe Orco;VILLANOS VOLUMEN II;109;04-05
ORCOS Y GOBLINS;Skarsnik, Señor de la Guerra de Karak-ocho-Picos;VILLANOS VOLUMEN II;107;04-05
ORCOS Y GOBLINS;Skiggit, El Gobo Negro;VILLANOS VOLUMEN II;108;04-05
ORCOS Y GOBLINS;Uzguz, el Jefe de loz Nómadaz;VILLANOS VOLUMEN II;110;04-05
ORCOS Y GOBLINS;Badruk Rompekabezaz;VILLANOS VOLUMEN II;92;05-06
REINOS OGROS;Braugh, Señordeesclavos;VILLANOS VOLUMEN I;88;04-05
REYES FUNERARIOS;Khalida Neferher, Gran Reina;VILLANOS VOLUMEN II;5;04-05
REYES FUNERARIOS;Apophas, Señor Maldito de los Escarabajos;VILLANOS VOLUMEN II;4;05-06
REYES FUNERARIOS;Nekhap, Campeón de Settra;VILLANOS VOLUMEN II;7;05-06
SKAVEN;Nurglitch, Archiseñor de la Plaga;VILLANOS VOLUMEN II;72;05-06
SKAVEN;Skrolk, Señor de la Plaga del Clan Pestilens;VILLANOS VOLUMEN II;74;05-06
SKAVEN;Throt el Inmundo;VILLANOS VOLUMEN II;81;05-06
