FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
BESTIAS DEL CAOS;Khazrak el Tuerto;VILLANOS VOLUMEN I;73;07-08
BESTIAS DEL CAOS;Kholek Comesoles;VILLANOS VOLUMEN I;74;07-08
BESTIAS DEL CAOS;Taurox, el Toro de Bronce (Minotauro);VILLANOS VOLUMEN I;79;07-08
CONDES VAMPIRO;Neferata;VILLANOS VOLUMEN II;34;06-07
CONDES VAMPIRO;El Duque Rojo;VILLANOS VOLUMEN II;18;07-08
CONDES VAMPIRO;Heinrich Kemmler, el Eterno;VILLANOS VOLUMEN II;19;07-08
CONDES VAMPIRO;Konrad Von Carstein;VILLANOS VOLUMEN II;21;07-08
CONDES VAMPIRO;Walach;VILLANOS VOLUMEN II;39;07-08
DEMONIOS DEL CAOS;Azazel, Príncipe de Slaanesh;VILLANOS VOLUMEN I;48;06-07
DEMONIOS DEL CAOS;Be’lakor, el Señor Oscuro;VILLANOS VOLUMEN I;49;06-07
ELFOS OSCUROS;Malus Darkblade, Portador de Tz’arkan;VILLANOS VOLUMEN II;52;06-07
ENANOS DEL CAOS;Belegar Martillo de Hierro;AVENTURAS ENANOS DEL CAOS;Final pag 11;06-07
ENANOS DEL CAOS;Kragg el Gruñón;AVENTURAS ENANOS DEL CAOS;Final pag 12;06-07
ENANOS DEL CAOS;Thorek Cejohierro;AVENTURAS ENANOS DEL CAOS;Final pag 14;06-07
ENANOS DEL CAOS;Drazhoath el Lívido, Profeta de Hashut;VILLANOS VOLUMEN I;96;06-07
ENANOS DEL CAOS;Zhatan el Negro, Señor de la Torre de Zharr;VILLANOS VOLUMEN I;99;06-07
ENANOS DEL CAOS;Rey Kazador;AVENTURAS ENANOS DEL CAOS;Final pag 10;07-08
ENANOS DEL CAOS;Ungrim Puñohierro;AVENTURAS ENANOS DEL CAOS;Final pag 10;07-08
ENANOS DEL CAOS;Rey Alrik Ranulfsson;AVENTURAS ENANOS DEL CAOS;Final pag 11;07-08
ENANOS DEL CAOS;Astragoth, Sumo Sacerdote de Hashut;VILLANOS VOLUMEN I;96;07-08
HOMBRES LAGARTO;Kroak, Venerable Cacique y Defensor de Itza;AVENTURAS HOMBRES LAGARTO;Final pag 11;06-07
HOMBRES LAGARTO;Kroq-Gar, el Mayor de los Escamaduras;AVENTURAS HOMBRES LAGARTO;Final pag 13;07-08
MORTALES DEL CAOS;Dechala la Renegada;VILLANOS VOLUMEN I;13;06-07
MORTALES DEL CAOS;Otto Glott;VILLANOS VOLUMEN I;15;06-07
MORTALES DEL CAOS;Gutrot Espuma, Señor de los Tentáculos;VILLANOS VOLUMEN I;17;06-07
MORTALES DEL CAOS;Harald Martillo de Tormenta;VILLANOS VOLUMEN I;18;06-07
MORTALES DEL CAOS;Kaleb Daark, Campeón de Malal;VILLANOS VOLUMEN I;19;06-07
MORTALES DEL CAOS;Kayzk el Podrido, en Montura Demoníaca;VILLANOS VOLUMEN I;20;06-07
MORTALES DEL CAOS;Mordrek el Condenado;VILLANOS VOLUMEN I;22;06-07
MORTALES DEL CAOS;Orghotts Vómito de Demonio;VILLANOS VOLUMEN I;22;06-07
MORTALES DEL CAOS;Sayl el Desleal;VILLANOS VOLUMEN I;23;06-07
MORTALES DEL CAOS;Wulfrik el Errante y guardaespaldas;VILLANOS VOLUMEN I;31;06-07
MORTALES DEL CAOS;Bloab Engendropútrido, Hechicero de Nurgle;VILLANOS VOLUMEN I;11;07-08
MORTALES DEL CAOS;Elhrac Glott;VILLANOS VOLUMEN I;15;07-08
MORTALES DEL CAOS;Ghurk Glott;VILLANOS VOLUMEN I;15;07-08
MORTALES DEL CAOS;Orghotts montado en Inmundicia;VILLANOS VOLUMEN I;22;07-08
MORTALES DEL CAOS;Tamurkhan, Señor de los Gusanos;VILLANOS VOLUMEN I;26;07-08
MORTALES DEL CAOS;Valkia la Sanguinaria;VILLANOS VOLUMEN I;27;07-08
MORTALES DEL CAOS;Vardek Crom el Conquistador, Heraldo de Archaón;VILLANOS VOLUMEN I;29;07-08
MORTALES DEL CAOS;Vilitch el Maldito;VILLANOS VOLUMEN I;30;07-08
ORCOS Y GOBLINS;Gorbad Garra’ierro;VILLANOS VOLUMEN II;95;06-07
ORCOS Y GOBLINS;Grumlok y Gazbag;VILLANOS VOLUMEN II;100;06-07
ORCOS Y GOBLINS;Wurrzag ud Ura Zahubu, Gran Chamán de la tribu Nariz Huezuda;VILLANOS VOLUMEN II;110;06-07
ORCOS Y GOBLINS;Azhag el Carnicero;VILLANOS VOLUMEN II;91;07-08
ORCOS Y GOBLINS;Grimgor Piel’ierro, Kaudillo Orco Negro;VILLANOS VOLUMEN II;97;07-08
ORCOS Y GOBLINS;Kundar Pizakráneoz, Kaudillo de los Kráneoz Rojoz;VILLANOS VOLUMEN II;103;07-08
ORCOS Y GOBLINS;Morglum Quiebracuellos, Kaudillo del Este;VILLANOS VOLUMEN II;104;07-08
ORCOS Y GOBLINS;Nazgob, Maestro Chamán;VILLANOS VOLUMEN II;105;07-08
REINOS OGROS;Ghark, Tirano Pielférrea;VILLANOS VOLUMEN I;89;06-07
REINOS OGROS;Skrag, El Carnicero;VILLANOS VOLUMEN I;91;06-07
REINOS OGROS;Grasientus Dientedoro;VILLANOS VOLUMEN I;90;07-08
REYES FUNERARIOS;Khatep, Gran Hierofante de Khemri;VILLANOS VOLUMEN II;6;06-07
REYES FUNERARIOS;Arkhan el Negro;VILLANOS VOLUMEN II;2;07-08
SKAVEN;Ikit Claw, Ingeniero Jefe del Clan Skryre;VILLANOS VOLUMEN II;71;07-08
SKAVEN;Snikch, Jefe de los Asesinos del Clan Eshin;VILLANOS VOLUMEN II;76;07-08
