FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
BESTIAS DEL CAOS;Nauj, el Centauro Mutante;VILLANOS VOLUMEN I;82;01-02
BESTIAS DEL CAOS;Golgfag, el Ogro Mutante;VILLANOS VOLUMEN I;82;01-02
CONDES VAMPIRO;Urzen, el Vampiro Estrigoi Herido;VILLANOS VOLUMEN II;42;01-02
CONDES VAMPIRO;Vyktrina y Anastasia las Hermanas espectrales;VILLANOS VOLUMEN II;44;01-02
ELFOS OSCUROS;Demone Ryme, Señora de las Bestias;VILLANOS VOLUMEN II;63;01-02
ELFOS OSCUROS;Raith Pieoscuro, Asesino Iniciado;VILLANOS VOLUMEN II;64;01-02
ENANOS DEL CAOS;Zeas, el Toro Centauro Mutante;VILLANOS VOLUMEN I;100;01-02
ENANOS DEL CAOS;Defahl, El cruel;VILLANOS VOLUMEN I;100;01-02
ENANOS DEL CAOS;Zuktarr Sundor, El Herrero;VILLANOS VOLUMEN I;101;01-02
ENANOS DEL CAOS;Snevel, hobgolin jefe;VILLANOS VOLUMEN I;103;01-02
HOMBRES LAGARTO;Tetto’eko, Astromante de las Constelaciones;AVENTURAS HOMBRES LAGARTO;15;01-02
MORTALES DEL CAOS;Godwin Taro, Campeón de Khorne;VILLANOS VOLUMEN I;33;01-02
MORTALES DEL CAOS;Elixa Abasheena;VILLANOS VOLUMEN I;37;01-02
MORTALES DEL CAOS;Antón, El Horrible,  Hechicero de Nurgle;VILLANOS VOLUMEN I;45;01-02
MORTALES DEL CAOS;Spewz el campeón de Nurgle;VILLANOS VOLUMEN I;45;01-02
ORCOS Y GOBLINS;Gorgut, Jefe de los Colmillos Negros;VILLANOS VOLUMEN II;112;01-02
ORCOS Y GOBLINS;Skabzone, el Shamán;VILLANOS VOLUMEN II;113;01-02
ORCOS Y GOBLINS;Gubbinz el goblin bufón;VILLANOS VOLUMEN II;114;01-02
REYES FUNERARIOS;Ramhotep el Visionario;VILLANOS VOLUMEN II;7;01-02
REYES FUNERARIOS;Luthor, Alberto y Gunther Laranscheld;VILLANOS VOLUMEN II;12;01-02
REYES FUNERARIOS;Van Dammeg,  el Rey Maldito;VILLANOS VOLUMEN II;11;01-02
SKAVEN;Skamps, El Enfermizo;VILLANOS VOLUMEN II;86;01-02
SKAVEN;Rance, La Garrapata;VILLANOS VOLUMEN II;87;01-02
SKAVEN;Festid, Hoja de inmundicia;VILLANOS VOLUMEN II;85;01-02
SKAVEN;Phlem, El Ingeniero Skaven;VILLANOS VOLUMEN II;85;01-02
