FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
BESTIAS DEL CAOS;Khazrak el Tuerto;VILLANOS VOLUMEN I;73;07-08
BESTIAS DEL CAOS;Kholek Comesoles;VILLANOS VOLUMEN I;74;07-08
BESTIAS DEL CAOS;Taurox, el Toro de Bronce (Minotauro);VILLANOS VOLUMEN I;79;07-08
CONDES VAMPIRO;El Duque Rojo;VILLANOS VOLUMEN II;18;07-08
CONDES VAMPIRO;Heinrich Kemmler, el Eterno;VILLANOS VOLUMEN II;19;07-08
CONDES VAMPIRO;Konrad Von Carstein;VILLANOS VOLUMEN II;21;07-08
CONDES VAMPIRO;Walach;VILLANOS VOLUMEN II;39;07-08
CONDES VAMPIRO;Dieter Helsnich, Señor de la Muerte de Middenheim;VILLANOS VOLUMEN II;17;08-09
CONDES VAMPIRO;Mannfred Von Carstein;VILLANOS VOLUMEN II;25;08-09
CONDES VAMPIRO;Melkhior el Anciano;VILLANOS VOLUMEN II;27;08-09
CONDES VAMPIRO;Vorag Diente Ensangrentado;VILLANOS VOLUMEN II;38;08-09
CONDES VAMPIRO;Zakarías el Eterno;VILLANOS VOLUMEN II;40;08-09
DEMONIOS DEL CAOS;Kairos Tejedestinos, Oráculo de Tzeentch;VILLANOS VOLUMEN I;58;08-09
ELFOS OSCUROS;Anciana Hellebron, la Reina Bruja;VILLANOS VOLUMEN II;47;08-09
ELFOS OSCUROS;Malekith, Rey Brujo de Naggaroth;VILLANOS VOLUMEN II;50;08-09
ELFOS OSCUROS;Morathi, Hechicera Bruja;VILLANOS VOLUMEN II;57;08-09
ENANOS DEL CAOS;Rey Kazador;AVENTURAS ENANOS DEL CAOS;Final pag 10;07-08
ENANOS DEL CAOS;Ungrim Puñohierro;AVENTURAS ENANOS DEL CAOS;Final pag 10;07-08
ENANOS DEL CAOS;Rey Alrik Ranulfsson;AVENTURAS ENANOS DEL CAOS;Final pag 11;07-08
ENANOS DEL CAOS;Astragoth, Sumo Sacerdote de Hashut;VILLANOS VOLUMEN I;96;07-08
ENANOS DEL CAOS;Drazhoath el Lívido, en Gran Tauro;VILLANOS VOLUMEN I;96;08-09
HOMBRES LAGARTO;Kroq-Gar, el Mayor de los Escamaduras;AVENTURAS HOMBRES LAGARTO;Final pag 13;07-08
MORTALES DEL CAOS;Bloab Engendropútrido, Hechicero de Nurgle;VILLANOS VOLUMEN I;11;07-08
MORTALES DEL CAOS;Elhrac Glott;VILLANOS VOLUMEN I;15;07-08
MORTALES DEL CAOS;Ghurk Glott;VILLANOS VOLUMEN I;15;07-08
MORTALES DEL CAOS;Orghotts montado en Inmundicia;VILLANOS VOLUMEN I;22;07-08
MORTALES DEL CAOS;Tamurkhan, Señor de los Gusanos;VILLANOS VOLUMEN I;26;07-08
MORTALES DEL CAOS;Valkia la Sanguinaria;VILLANOS VOLUMEN I;27;07-08
MORTALES DEL CAOS;Vardek Crom el Conquistador, Heraldo de Archaón;VILLANOS VOLUMEN I;29;07-08
MORTALES DEL CAOS;Vilitch el Maldito;VILLANOS VOLUMEN I;30;07-08
MORTALES DEL CAOS;Aekold Helbrass, Campeón de Tzeentch;VILLANOS VOLUMEN I;3;08-09
MORTALES DEL CAOS;Arbaal el Invencible, Destructor de Khorne;VILLANOS VOLUMEN I;3;08-09
MORTALES DEL CAOS;Egrimm Van Horstmann, Hechicero de Tzeentch;VILLANOS VOLUMEN I;13;08-09
MORTALES DEL CAOS;Sigvald el Magnífico;VILLANOS VOLUMEN I;24;08-09
ORCOS Y GOBLINS;Azhag el Carnicero;VILLANOS VOLUMEN II;91;07-08
ORCOS Y GOBLINS;Grimgor Piel’ierro, Kaudillo Orco Negro;VILLANOS VOLUMEN II;97;07-08
ORCOS Y GOBLINS;Kundar Pizakráneoz, Kaudillo de los Kráneoz Rojoz;VILLANOS VOLUMEN II;103;07-08
ORCOS Y GOBLINS;Morglum Quiebracuellos, Kaudillo del Este;VILLANOS VOLUMEN II;104;07-08
ORCOS Y GOBLINS;Nazgob, Maestro Chamán;VILLANOS VOLUMEN II;105;07-08
ORCOS Y GOBLINS;Azhag el Carnicero montado en Serpiente Alada;VILLANOS VOLUMEN II;91;08-09
REINOS OGROS;Grasientus Dientedoro;VILLANOS VOLUMEN I;90;07-08
REYES FUNERARIOS;Arkhan el Negro;VILLANOS VOLUMEN II;2;07-08
REYES FUNERARIOS;Sehenesmet, Visir de Quatar;VILLANOS VOLUMEN II;8;08-09
SKAVEN;Ikit Claw, Ingeniero Jefe del Clan Skryre;VILLANOS VOLUMEN II;71;07-08
SKAVEN;Snikch, Jefe de los Asesinos del Clan Eshin;VILLANOS VOLUMEN II;76;07-08
SKAVEN;Veskit, Gran Verdugo del Clan Eshin;VILLANOS VOLUMEN II;84;07-08
