FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
BESTIAS DEL CAOS;Molokh Lenguababosa, el Demonio del Hambre;VILLANOS VOLUMEN I;77;03-04
BESTIAS DEL CAOS;Scyla Anfingrimm, La Garra de Khorne;VILLANOS VOLUMEN I;78;03-04
BESTIAS DEL CAOS;Volga la Gorgona;VILLANOS VOLUMEN I;83;03-04
BESTIAS DEL CAOS;Malagor, el Profeta Oscuro;VILLANOS VOLUMEN I;75;04-05
BESTIAS DEL CAOS;Ungrol Cuatrocuernos;VILLANOS VOLUMEN I;81;04-05
CONDES VAMPIRO;Molvar el Señor Espectro y el Lobo gigante;VILLANOS VOLUMEN II;43;03-04
CONDES VAMPIRO;Krell;VILLANOS VOLUMEN II;22;04-05
DEMONIOS DEL CAOS;La Máscara de Slaanesh;VILLANOS VOLUMEN I;61;03-04
DEMONIOS DEL CAOS;El Cambiante;VILLANOS VOLUMEN I;53;04-05
DEMONIOS DEL CAOS;Epidemius, Archivista de Nurgle;VILLANOS VOLUMEN I;54;04-05
DEMONIOS DEL CAOS;Los Escribas Azules;VILLANOS VOLUMEN I;55;04-05
DEMONIOS DEL CAOS;Morbidex Doblenacido;VILLANOS VOLUMEN I;62;04-05
DEMONIOS DEL CAOS;U’zuhl el Despojacráneos;VILLANOS VOLUMEN I;65;04-05
ELFOS OSCUROS;Melusina, Reina Bruja;VILLANOS VOLUMEN II;65;03-04
ELFOS OSCUROS;Husk Bawn, Verdugo Experto;VILLANOS VOLUMEN II;66;03-04
ELFOS OSCUROS;Rakarth, Señor de las Bestias;VILLANOS VOLUMEN II;59;04-05
ENANOS DEL CAOS;Josef Bugman;AVENTURAS ENANOS DEL CAOS;Final pag 13;03-04
ENANOS DEL CAOS;Burlok Damminson;AVENTURAS ENANOS DEL CAOS;Final pag 14;03-04
ENANOS DEL CAOS;Drong El Largo;AVENTURAS ENANOS DEL CAOS;Final pag 15;03-04
ENANOS DEL CAOS;Enkni, Toro centauro;VILLANOS VOLUMEN I;103;03-04
ENANOS DEL CAOS;Hezak, el torcido;VILLANOS VOLUMEN I;105;03-04
ENANOS DEL CAOS;Dracos calavera de muerte;VILLANOS VOLUMEN I;104;03-04
ENANOS DEL CAOS;Gorduz el Traicionero;VILLANOS VOLUMEN I;98;04-05
HOMBRES LAGARTO;Tenenhauin, Profeta de Sotek;AVENTURAS HOMBRES LAGARTO;Final pag 12;03-04
HOMBRES LAGARTO;Gor-rok, el Gran Lagarto Blanco;AVENTURAS HOMBRES LAGARTO;Final pag 14;04-05
MORTALES DEL CAOS;Festasmus, El Septilo;VILLANOS VOLUMEN I;38;03-04
MORTALES DEL CAOS;Ungwie, El novivo;VILLANOS VOLUMEN I;35;03-04
MORTALES DEL CAOS;Lonzo Moreau, El Maestro de la Ilusión;VILLANOS VOLUMEN I;34;03-04
MORTALES DEL CAOS;La Luna danzante y engendro de Tzeench;VILLANOS VOLUMEN I;42;03-04
MORTALES DEL CAOS;Bacanal de Perversión;VILLANOS VOLUMEN I;43;03-04
MORTALES DEL CAOS;Rolling Bones;VILLANOS VOLUMEN I;33;03-04
MORTALES DEL CAOS;Vorl  y Malmsteem Perro Negro;VILLANOS VOLUMEN I;37;03-04
MORTALES DEL CAOS;Kayzk el Podrido, Campeón de Nurgle;VILLANOS VOLUMEN I;20;04-05
MORTALES DEL CAOS;Kordel Shorgaar, Portaestandarte de las Espadas del Caos;VILLANOS VOLUMEN I;21;04-05
MORTALES DEL CAOS;Valnir el Segador;VILLANOS VOLUMEN I;28;04-05
MORTALES DEL CAOS;Wulfrik el Errante;VILLANOS VOLUMEN I;31;04-05
ORCOS Y GOBLINS;Gorfang Rotgut, Kaudillo de los Kolmilloz Rojoz;VILLANOS VOLUMEN II;96;03-04
ORCOS Y GOBLINS;Grotsnag, Azote de laz Montañaz Negraz;VILLANOS VOLUMEN II;99;03-04
ORCOS Y GOBLINS;Kapitán Skaben, Marinero Verde;VILLANOS VOLUMEN II;101;03-04
ORCOS Y GOBLINS;Komepiñoz Tripafea, el Goblin Máz Lizto de Todoz;VILLANOS VOLUMEN II;102;03-04
ORCOS Y GOBLINS;Oddgit, Chamán Goblin Nocturno;VILLANOS VOLUMEN II;106;03-04
ORCOS Y GOBLINS;Axemudd el Jefe Orco Salvaje;VILLANOS VOLUMEN II;115;03-04
ORCOS Y GOBLINS;Munk, el Chamán Orco Salvaje;VILLANOS VOLUMEN II;116;03-04
ORCOS Y GOBLINS;Borgut Machakajetoz, la Mano Derecha de Gorko;VILLANOS VOLUMEN II;93;04-05
ORCOS Y GOBLINS;Bruja Troll;VILLANOS VOLUMEN II;94;04-05
ORCOS Y GOBLINS;Grom el Panzudo, Kaudillo Goblin de la Montaña Nublada;VILLANOS VOLUMEN II;98;04-05
ORCOS Y GOBLINS;Oglok el Horrible;VILLANOS VOLUMEN II;107;04-05
ORCOS Y GOBLINS;Snagga, Gran Jefe Orco;VILLANOS VOLUMEN II;109;04-05
ORCOS Y GOBLINS;Skarsnik, Señor de la Guerra de Karak-ocho-Picos;VILLANOS VOLUMEN II;107;04-05
ORCOS Y GOBLINS;Skiggit, El Gobo Negro;VILLANOS VOLUMEN II;108;04-05
ORCOS Y GOBLINS;Uzguz, el Jefe de loz Nómadaz;VILLANOS VOLUMEN II;110;04-05
REINOS OGROS;Braugh, Señordeesclavos;VILLANOS VOLUMEN I;88;04-05
REYES FUNERARIOS;Rey Esqueleto y Armand Vespin;VILLANOS VOLUMEN II;13;03-04
