FACCIÓN;VILLANO;LIBRO;PÁGINA;NIVEL
BESTIAS DEL CAOS;Ghorros Pezuñabélica;VILLANOS VOLUMEN I;68;05-06
BESTIAS DEL CAOS;Gorthor, el cruel;VILLANOS VOLUMEN I;69;05-06
BESTIAS DEL CAOS;Morghur, Señor de las Calaveras;VILLANOS VOLUMEN I;77;05-06
BESTIAS DEL CAOS;Throgg el Rey Troll  (Troll);VILLANOS VOLUMEN I;80;05-06
CONDES VAMPIRO;Isabella Von Carstein;VILLANOS VOLUMEN II;20;05-06
CONDES VAMPIRO;Lord Falk, el Caballero Oscuro;VILLANOS VOLUMEN II;23;05-06
CONDES VAMPIRO;Luthor Harkon;VILLANOS VOLUMEN II;24;05-06
CONDES VAMPIRO;Neferata;VILLANOS VOLUMEN II;34;06-07
DEMONIOS DEL CAOS;Azazel, Príncipe de Slaanesh;VILLANOS VOLUMEN I;48;06-07
DEMONIOS DEL CAOS;Be’lakor, el Señor Oscuro;VILLANOS VOLUMEN I;49;06-07
ELFOS OSCUROS;Kouran Manoscura, Capitán de la Guardia Negra;VILLANOS VOLUMEN II;48;05-06
ELFOS OSCUROS;Lokhir Fellheart, Señor Kraken de Karond-Kar;VILLANOS VOLUMEN II;49;05-06
ELFOS OSCUROS;Shadowblade, Maestro de Asesinos;VILLANOS VOLUMEN II;60;05-06
ELFOS OSCUROS;Tullaris de Har Ganeth, Portador del Terror;VILLANOS VOLUMEN II;61;05-06
ELFOS OSCUROS;Malus Darkblade, Portador de Tz’arkan;VILLANOS VOLUMEN II;52;06-07
ENANOS DEL CAOS;Gotrek Gurnisson;AVENTURAS ENANOS DEL CAOS;Final pag 12;05-06
ENANOS DEL CAOS;Ghazak Khan, Señor de las Estepas;VILLANOS VOLUMEN I;97;05-06
ENANOS DEL CAOS;Belegar Martillo de Hierro;AVENTURAS ENANOS DEL CAOS;Final pag 11;06-07
ENANOS DEL CAOS;Kragg el Gruñón;AVENTURAS ENANOS DEL CAOS;Final pag 12;06-07
ENANOS DEL CAOS;Thorek Cejohierro;AVENTURAS ENANOS DEL CAOS;Final pag 14;06-07
ENANOS DEL CAOS;Drazhoath el Lívido, Profeta de Hashut;VILLANOS VOLUMEN I;96;06-07
ENANOS DEL CAOS;Zhatan el Negro, Señor de la Torre de Zharr;VILLANOS VOLUMEN I;99;06-07
HOMBRES LAGARTO;Chakax, Primer Guardián de Xlanhuapec;AVENTURAS HOMBRES LAGARTO;Final pag 14;05-06
HOMBRES LAGARTO;Kroak, Venerable Cacique y Defensor de Itza;AVENTURAS HOMBRES LAGARTO;Final pag 11;06-07
MORTALES DEL CAOS;Festus, Doctor Anélido;VILLANOS VOLUMEN I;14;05-06
MORTALES DEL CAOS;Skarr Irasangrienta;VILLANOS VOLUMEN I;25;05-06
MORTALES DEL CAOS;Feria ambulante del Caos;VILLANOS VOLUMEN I;39;05-06
MORTALES DEL CAOS;Dechala la Renegada;VILLANOS VOLUMEN I;13;06-07
MORTALES DEL CAOS;Otto Glott;VILLANOS VOLUMEN I;15;06-07
MORTALES DEL CAOS;Gutrot Espuma, Señor de los Tentáculos;VILLANOS VOLUMEN I;17;06-07
MORTALES DEL CAOS;Harald Martillo de Tormenta;VILLANOS VOLUMEN I;18;06-07
MORTALES DEL CAOS;Kaleb Daark, Campeón de Malal;VILLANOS VOLUMEN I;19;06-07
MORTALES DEL CAOS;Kayzk el Podrido, en Montura Demoníaca;VILLANOS VOLUMEN I;20;06-07
MORTALES DEL CAOS;Mordrek el Condenado;VILLANOS VOLUMEN I;22;06-07
MORTALES DEL CAOS;Orghotts Vómito de Demonio;VILLANOS VOLUMEN I;22;06-07
MORTALES DEL CAOS;Sayl el Desleal;VILLANOS VOLUMEN I;23;06-07
MORTALES DEL CAOS;Wulfrik el Errante y guardaespaldas;VILLANOS VOLUMEN I;31;06-07
ORCOS Y GOBLINS;Badruk Rompekabezaz;VILLANOS VOLUMEN II;92;05-06
ORCOS Y GOBLINS;Gorbad Garra’ierro;VILLANOS VOLUMEN II;95;06-07
ORCOS Y GOBLINS;Grumlok y Gazbag;VILLANOS VOLUMEN II;100;06-07
ORCOS Y GOBLINS;Wurrzag ud Ura Zahubu, Gran Chamán de la tribu Nariz Huezuda;VILLANOS VOLUMEN II;110;06-07
REINOS OGROS;Ghark, Tirano Pielférrea;VILLANOS VOLUMEN I;89;06-07
REINOS OGROS;Skrag, El Carnicero;VILLANOS VOLUMEN I;91;06-07
REYES FUNERARIOS;Apophas, Señor Maldito de los Escarabajos;VILLANOS VOLUMEN II;4;05-06
REYES FUNERARIOS;Nekhap, Campeón de Settra;VILLANOS VOLUMEN II;7;05-06
REYES FUNERARIOS;Khatep, Gran Hierofante de Khemri;VILLANOS VOLUMEN II;6;06-07
SKAVEN;Nurglitch, Archiseñor de la Plaga;VILLANOS VOLUMEN II;72;05-06
SKAVEN;Skrolk, Señor de la Plaga del Clan Pestilens;VILLANOS VOLUMEN II;74;05-06
SKAVEN;Throt el Inmundo;VILLANOS VOLUMEN II;81;05-06
